CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Waitsfield,,,Free Wheelin' volunteer-operated microtransit ,,2019,,Community sponsors and donations,Mad River Seniors,https://www.mrvfreewheelin.org/,,,,,,,,,,,,,,,,,
Waterbury,"103 S Main St, Waterbury, VT 05676",Main St/Rt 100,"Improved sidewalk and pedestrian crossings, as part of repaving project",1,2022,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=22D066,,,,,,,,,,,,,,,,,
Brattleboro,"303 Western Ave, Brattleboro, VT 05301",Western Ave between Green St and I-91 interchange,"Bike lanes on north and south sides of Western Ave, crosswalks at Greenhill Pkwy, Speno Ct, Green St. and RRFB at Allerton Avenue",2,2023,"$36,000","BP 2022 ($18,000)",,,,,,,,,,,,,,,,,,,
Brattleboro,,Western Avenue between Exit 2 interchange and downtown,"Rapid flashing beacons installed on 2 crosswalks; bike lanes painted on either side of the road
",,2024/5,,,"Brattleboro Town, VTrans",,,,,,,,,,,,,,,,,,
Brattleboro,"230 Main St #108, Brattleboro, VT 05301",,"MicroMoo2:  A micro-transit service that operates like a free rideshare, with an app. Operated by Southeast Vermont Transit and supported by VTrans",4,2024,,,Southeast Vermont Transit,https://www.moover.com/moover-awarded-sustaining-grant-for-brattleboro-microtranst/,,,,,,,,,,,,,,,,,
Brattleboro-Newfane,"333 W River Rd, Brattleboro, VT 05301",Rt. 30 between Brattleboro & Newfane,"Resurfacing, inc bike lanes, new buffered bike lanes, sidewalk upgrades, and new and repainted crosswalks",3,2023,,"VTrans ($300,000)",VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=11B322,https://app.powerbigov.us/view?r=eyJrIjoiYWRkOTQwZjEtZjFiZi00OGMxLWI2YzYtYmUzYjBjOTRhNjQ4IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9&pageName=ReportSection,,,,,,,,,,,,,,,,
Putney,"19 River Rd S, Putney, VT 05346",US Rt 5 from ~17 Bellows Falls Rd to Landmark College,Sidewalk from meeting house to Landmark College ,1,,,,,,,,,,,,,,,,,,,,,,
Wilmington,"S Main St, Wilmington, VT 05363",South Main St,"360 linear feet of 5-foot wide concrete sidewalk with granite curb, replacing existing 4-foot wide sidewalks. Installation of 4 new pedestrian lights.",1,2019,,,DTF,https://www.dufresnegroup.com/projects/s.-main-street-sidewalk,,,,,,,,,,,,,,,,,
Hartford,"195 Sykes Mountain Ave, White River Junction, VT 05001",Upper Sykes Mtn Ave,Sidewalk and bike lane,3,2021,,,Town of Hartford,,,,,,,,,,,,,,,,,,
Hartford,"262 N Main St, White River Junction, VT 05001",US 5,"US5 repaving w/ buffered bike lane, new sidewalk ramps, crosswalks ",3,2024,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20T298&fbclid=IwZXh0bgNhZW0CMTAAAR0k00OMAtzrTbKc5C3A9MZK7X6zsPK9aJaOKcyzYHqUHI_X6k1hleeRZ3g_aem_5zWoJPvUiMHrDfR1vp4yXg,,,,,,,,,,,,,,,,,
Hartland ,"7 VT-12, Hartland, VT 05048","US5, VT12 & Quechee Road intersection","3 Corners intersection reconstructed into a 4 way intersection, including new sidewalks to improve the safety and walkability in the village.",3,2023,,,TRORC,https://www.trorc.org/wp-content/uploads/2023/11/Hartland-3-Corners-sm.pdf,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F328,,,,,,,,,,,,,,,,
Upper Valley,"1587 Maple St, White River Junction, VT 05001",Upper Valley region VT & NH,"Upper Valley E-Bike Lending Library: 4 e-bikes that ""travel"" to hubs around UV so people can try them out. Sponsored through Kilton Public Library, run by Vital Communities",4,2020,,,Vital Communities,https://vitalcommunities.org/transportation/upper-valley-e-bike-lending-library/,,,,,,,,,,,,,,,,,
Springfield,100 Mineral St.,100 Mineral St.,Pedestrian safety improvements near State Office Building,1,2023,,Downtown Transportation Fund,MARPC,,,,,,,,,,,,,,,,,,
Springfield,"Main St, Springfield, VT 05156",North Main St.,Sidewalk improvements,1,2021,,,Town of Springfield,,,,,,,,,,,,,,,,,,
Thetford,"5470 VT-113, Thetford Center, VT 05075",VT 113,walking path along Rt 113,1,2020,,,,,,,,,,,,,,,,,,,,,
Thetford,"5470 VT-113, Thetford Center, VT 05075",,Trailhead,1,2020,,,,,,,,,,,,,,,,,,,,,
Windsor,"29 Union St, Windsor, VT 05089",Windsor,"Micro Moo by Moover: A micro-transit service that operates like a free rideshare, with an app. Operated by Southeast Vermont Transit and supported by VTrans",4,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
